last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
1979-12-15,23.7606234552547,8.515158e-07,18.54,2056-2113,4,2444222.5,(1979 XB),-2.99,0,0.66,-2.69,bJ79X00B,1979 XB
2022-05-23,15.5694051293592,0.0001203297828,28.45,2060-2122,33,2459722.5,(2022 KK2),-5.79,0,0.0069,-5.59,bK22K02K,2022 KK2
2000-10-03,1.35802744453748,0.002743395186,24.79,2069-2122,300,2451820.5,(2000 SG344),-3.11,0,0.037,-2.77,bK00SY4G,2000 SG344
2012-11-16,11.4626328606267,1.9442009e-05,26.95,2081-2120,15,2456247.5,(2012 VS76),-6.05,0,0.014,-5.74,bK12V76S,2012 VS76
2018-04-09,20.20,3.772e-09,26.19,2102-2102,1,2458217.5,(2018 GN),-8.95,0,0.02,-8.95,bK18G00N,2018 GN
2013-01-12,8.55,2.937e-06,26.32,2064-2064,1,2456304.5,(2011 TO),-6.16,0,0.018,-6.16,bK11T00O,2011 TO
2012-02-21,7.21203952320587,1.22522146e-05,26.51,2103-2122,20,2455978.5,(2012 BA102),-6.27,0,0.017,-6.03,bK12BA2A,2012 BA102
2014-04-27,21.9988508209515,6.5351e-09,19.92,2069-2118,12,2456774.5,(2014 HN197),-5.98,0,0.35,-5.51,bK14HJ7N,2014 HN197
2005-11-22,12.3834503195676,9.90088e-08,24.51,2068-2119,6,2453696.5,(2005 UL6),-6.95,0,0.042,-6.70,bK05U06L,2005 UL6
2009-02-24,22.0982648784577,3.1018e-08,24.86,2044-2102,2,2454886.5,(2009 DV),-7.37,0,0.036,-7.24,bK09D00V,2009 DV
2009-03-05,10.69,5.902e-10,27.85,2068-2068,1,2454895.5,(2009 EH1),-10.56,0,0.0091,-10.56,bK09E01H,2009 EH1
2021-06-12,11.47,8.724e-08,28.13,2040-2040,1,2459377.5,(2021 LY1),-8.05,0,0.008,-8.05,bK21L01Y,2021 LY1
2021-07-13,8.21159723247776,5.329099e-06,26.58,2111-2120,8,2459408.5,(2021 NM3),-6.48,0,0.016,-6.41,bK21N03M,2021 NM3
2019-01-11,11.91,8.859e-08,26.02,2106-2106,1,2458494.5,(2018 XX2),-7.75,0,0.021,-7.75,bK18X02X,2018 XX2
2019-04-04,10.8171734948038,3.96111598e-05,29.75,2039-2122,74,2458577.5,(2019 GP21),-7.32,0,0.0038,-6.77,bK19G21P,2019 GP21
2018-11-22,3.03482112870115,6.1740984e-05,30.01,2085-2121,77,2458444.5,(2018 WA1),-7.88,0,0.0034,-7.08,bK18W01A,2018 WA1
2019-06-08,5.00834214719123,9.80658349999999e-05,27.24,2059-2122,201,2458642.5,(2019 KJ4),-6.20,0,0.012,-5.38,bK19K04J,2019 KJ4
2005-02-10,18.3491553544495,2.652e-09,26.17,2090-2120,2,2453411.5,(2005 CM7),-9.28,0,0.02,-9.12,bK05C07M,2005 CM7
2017-08-21,12.7508470140192,3.09793314e-05,27.83,2043-2121,69,2457986.5,(2017 QF3),-6.06,0,0.00919,-5.62,bK17Q03F,2017 QF3
2011-03-10,6.53840015998875,2.7609442e-05,27.00,2065-2122,42,2455630.5,(2011 DS),-6.08,0,0.013,-5.78,bK11D00S,2011 DS
2019-07-11,1.79631891148714,7.76027876e-05,29.12,2069-2122,121,2458675.5,(2019 NX5),-6.79,0,0.0051,-6.46,bK19N05X,2019 NX5
2019-11-04,9.85,1.754e-08,25.78,2105-2105,1,2458791.5,(2019 UB2),-8.40,0,0.024,-8.40,bK19U02B,2019 UB2
2019-11-03,11.218679877594,4.283777e-06,27.42,2087-2121,13,2458790.5,(2019 VD),-7.30,0,0.011,-6.74,bK19V00D,2019 VD
2020-07-26,21.3694823063251,8.213274e-06,25.64,2093-2121,19,2459056.5,(2020 OR4),-5.59,0,0.025,-5.29,bK20O04R,2020 OR4
2021-09-14,8.44364514473364,0.00024180867,28.96,2049-2054,6,2459471.5,(2021 RF16),-5.46,0,0.00548,-5.35,bK21R16F,2021 RF16
2025-12-23,15.2958076589327,1.082109e-06,25.69,2083-2120,8,2461032.5,(2025 XJ1),-6.39,0,0.025,-6.30,bK25X01J,2025 XJ1
2025-12-22,9.14,1.092e-07,29.13,2125-2125,1,2461031.5,(2025 YS1),-9.33,0,0.005,-9.33,bK25Y01S,2025 YS1
2025-12-23,16.3698085281924,0.0002985044415,28.93,2110-2122,35,2461032.5,(2025 YB4),-5.85,0,0.00551,-5.57,bK25Y04B,2025 YB4
2016-03-17,8.80973847928333,5.856515e-05,27.94,2108-2116,6,2457464.5,(2016 EM156),-6.01,0,0.0087,-6.00,bK16EF6M,2016 EM156
2013-07-16,21.7442111988848,8.608e-08,23.35,2060-2060,2,2456489.5,(2013 NH6),-6.13,0,0.073,-5.84,bK13N06H,2013 NH6
2013-10-30,21.6573149632534,9.87439e-07,27.77,2043-2067,5,2456595.5,(2013 UR1),-6.89,0,0.0094,-6.75,bK13U01R,2013 UR1
2014-10-21,10.7197943069632,6.602557e-06,27.82,2072-2121,13,2456951.5,(2014 TL),-6.94,0,0.0092,-6.75,bK14T00L,2014 TL
2014-10-28,8.1690067935888,9.8328e-08,28.29,2088-2119,7,2456958.5,(2014 UU56),-9.31,0,0.00742,-8.90,bK14U56U,2014 UU56
2015-02-19,13.6969246515665,3.96481939e-05,29.43,2045-2054,15,2457072.5,(2015 DQ224),-6.57,0,0.00441,-6.12,bK15DM4Q,2015 DQ224
2013-11-02,9.14938302382687,3.926197e-06,26.54,2091-2121,11,2456598.5,(2013 TV132),-6.93,0,0.017,-6.48,bK13TD2V,2013 TV132
2014-05-28,9.0496620939347,1.627109e-06,25.07,2076-2108,2,2456805.5,(2014 FX32),-5.92,0,0.033,-5.92,bK14F32X,2014 FX32
2015-03-27,6.48,4.835e-09,25.89,2122-2122,1,2457108.5,(2015 CT13),-9.19,0,0.022,-9.19,bK15C13T,2015 CT13
2016-01-13,17.6490680152751,9.689e-09,23.36,2084-2108,2,2457400.5,(2015 YV1),-7.44,0,0.072,-7.20,bK15Y01V,2015 YV1
2008-06-10,4.13173498806221,0.000116370403,28.86,2054-2122,142,2454627.5,(2008 LD),-6.97,0,0.0057,-6.17,bK08L00D,2008 LD
2008-08-08,26.3529332429443,5.6054e-07,23.21,2049-2065,3,2454686.5,(2008 PK9),-4.92,0,0.0769,-4.74,bK08P09K,2008 PK9
2010-10-09,18.8519643090526,2.647394e-06,26.86,2072-2091,7,2455478.5,(2010 TD),-6.59,0,0.014,-6.28,bK10T00D,2010 TD
2010-04-16,5.45506145092258,7.02105e-06,27.64,2096-2121,7,2455302.5,(2010 GV23),-6.94,0,0.01,-6.88,bK10G23V,2010 GV23
2016-04-20,13.32,5.907e-10,26.59,2076-2076,1,2457498.5,(2016 GW220),-9.95,0,0.016,-9.95,bK16GM0W,2016 GW220
2016-10-10,15.2111165977373,1.2006974e-05,26.45,2110-2120,18,2457671.5,(2016 TQ2),-6.01,0,0.017,-5.79,bK16T02Q,2016 TQ2
2022-11-23,8.4834299157999,4.038e-07,28.26,2066-2105,3,2459906.5,(2022 UQ40),-8.11,0,0.0075,-8.04,bK22U40Q,2022 UQ40
2022-11-02,28.9990519978397,1.281284e-06,24.51,2052-2094,7,2459885.5,(2022 UU14),-5.58,0,0.0421,-5.25,bK22U14U,2022 UU14
2022-11-26,17.1459185716599,1.2326028e-05,24.39,2068-2118,15,2459909.5,(2022 VE1),-5.11,0,0.045,-4.63,bK22V01E,2022 VE1
2010-12-14,6.21229659875168,4.36428e-08,25.33,2054-2088,5,2455544.5,(2010 XU),-7.69,0,0.029,-7.56,bK10X00U,2010 XU
2016-11-29,4.79,5.633e-10,26.75,2115-2115,1,2457721.5,(2016 VH),-10.55,0,0.015,-10.55,bK16V00H,2016 VH
2014-10-03,15.2486059702363,3.0141487e-06,26.81,2058-2117,15,2456933.5,(2014 SR261),-6.48,0,0.015,-6.27,bK14SQ1R,2014 SR261
2009-01-09,8.79863224563553,6.4383293e-06,26.35,2077-2122,26,2454840.5,(2008 YV32),-6.58,0,0.018,-6.09,bK08Y32V,2008 YV32
2022-02-07,16.7982662684457,1.482594e-06,30.51,2083-2120,15,2459617.5,(2022 CB3),-9.04,0,0.0027,-8.44,bK22C03B,2022 CB3
2022-02-10,8.74,1.110e-06,28.13,2093-2093,1,2459620.5,(2022 CL3),-7.68,0,0.008,-7.68,bK22C03L,2022 CL3
2008-10-21,18.9124162257496,5.67e-07,31.36,2040-2044,2,2454760.5,(2008 US),-8.75,0,0.0018,-8.63,bK08U00S,2008 US
2009-09-15,12.9536691131686,9.2927101e-06,25.56,2098-2120,58,2455089.5,(2009 RR),-6.28,0,0.026,-5.49,bK09R00R,2009 RR
2011-03-11,9.13,3.661e-09,27.31,2088-2088,1,2455631.5,(2011 EU20),-9.73,0,0.012,-9.73,bK11E20U,2011 EU20
2011-06-01,22.145703576783,4.669e-10,20.44,2026-2031,4,2455713.5,(2011 KF36),-5.69,0,0.275,-5.43,bK11K36F,2011 KF36
2011-09-30,14.2487095542237,5.6011071e-05,27.80,2058-2120,14,2455834.5,(2011 SM173),-5.42,0,0.0093,-5.38,bK11SH3M,2011 SM173
2017-03-09,9.50,3.988e-10,27.71,2120-2120,1,2457821.5,(2017 EJ1),-11.05,0,0.0097,-11.05,bK17E01J,2017 EJ1
2018-05-23,8.39239487851011,2.0619e-07,24.58,2085-2114,2,2458261.5,(2018 HJ2),-6.90,0,0.041,-6.82,bK18H02J,2018 HJ2
2019-05-03,5.57,4.695e-08,28.52,2099-2099,1,2458606.5,(2019 HN4),-9.37,0,0.0067,-9.37,bK19H04N,2019 HN4
2019-08-28,21.5892883201622,2.72187e-07,24.80,2096-2108,2,2458723.5,(2019 QS),-6.34,0,0.037,-6.34,bK19Q00S,2019 QS
2020-03-24,12.8792532455761,9.129119e-07,28.59,2092-2115,7,2458932.5,(2020 FU2),-8.12,0,0.00649,-7.91,bK20F02U,2020 FU2
2020-08-07,1.4547902747192,3.7154629e-05,27.98,2069-2122,72,2459068.5,(2020 PC),-6.65,0,0.0086,-6.22,bK20P00C,2020 PC
2019-10-28,10.3371070542062,4.879089e-06,28.94,2053-2118,27,2458784.5,(2019 UB8),-7.77,0,0.0055,-7.29,bK19U08B,2019 UB8
2019-10-31,10.179698801331,8.942669e-07,32.12,2107-2111,4,2458787.5,(2019 UN13),-10.22,0,0.0013,-9.76,bK19U13N,2019 UN13
2020-02-21,10.4503239071627,1.565146e-05,26.03,2089-2122,34,2458900.5,(2020 DK),-6.31,0,0.021,-5.54,bK20D00K,2020 DK
2021-02-18,12.9046360658916,0.000169320156,30.21,2044-2072,9,2459263.5,(2021 DG),-6.33,0,0.0031,-6.14,bK21D00G,2021 DG
2021-03-02,6.92146372637218,9.6788582e-05,29.16,2064-2122,76,2459275.5,(2021 DA2),-6.83,0,0.005,-6.25,bK21D02A,2021 DA2
2007-11-20,18.393669527897,3.9144e-09,23.32,2042-2042,2,2454424.5,(2007 VH189),-6.97,0,0.073,-6.94,bK07VI9H,2007 VH189
2024-12-13,4.13550554125936,2.705071e-07,27.32,2070-2122,14,2460657.5,(2024 XC17),-8.47,0,0.012,-8.01,bK24X17C,2024 XC17
2008-02-15,4.07487636213547,2.444599e-06,28.05,2069-2115,24,2454511.5,(2008 CM74),-8.06,0,0.0083,-7.42,bK08C74M,2008 CM74
2021-04-10,8.84062026210802,1.88243e-06,28.36,2080-2116,5,2459314.5,(2021 GE226),-7.89,0,0.00719,-7.58,bK21GM6E,2021 GE226
2020-03-20,14.6368832852851,1.05114141e-05,24.07,2046-2117,45,2458928.5,(2020 FZ46),-5.04,0,0.052,-4.47,bK20F46Z,2020 FZ46
2008-05-15,7.56,6.549e-08,25.49,2101-2101,1,2454601.5,(2008 JQ),-7.73,0,0.027,-7.73,bK08J00Q,2008 JQ
2020-04-22,3.44028641670312,3.1802824e-05,28.61,2055-2123,38,2458961.5,(2020 HN),-6.62,0,0.0064,-6.34,bK20H00N,2020 HN
2023-10-26,8.15,1.4502e-07,26.85,2108-2108,2,2460243.5,(2023 TH),-8.16,0,0.014,-8.07,bK23T00H,2023 TH
2020-04-30,8.74446278863597,1.561136e-06,27.20,2044-2121,8,2458969.5,(2020 HW7),-6.79,0,0.012,-6.71,bK20H07W,2020 HW7
2006-04-09,7.30957092814698,1.97315926e-05,27.77,2073-2121,91,2453834.5,(2006 GU2),-7.20,0,0.00949,-6.33,bK06G02U,2006 GU2
